ts,run_tag,last_processed_idx,last_processed_global_idx,last_processed_source_idx,total_processed,total_saved,ea_count,pa_count,format_ok_count,errors,skipped,ea_rate,pa_rate,fmt_rate,completed
2026-04-14 18:16:44,full_run,9,9,9,10,1,1,1,10,0,0,0.1,0.1,1,False
2026-04-14 18:16:44,full_run,19,19,19,20,3,3,2,20,0,0,0.15,0.1,1,False
2026-04-14 18:16:44,full_run,29,29,29,30,4,4,3,30,0,0,0.133333333333333,0.1,1,False
2026-04-14 18:16:44,full_run,39,39,39,40,5,5,4,40,0,0,0.125,0.1,1,False
2026-04-14 18:16:44,full_run,49,49,49,50,6,6,5,50,0,0,0.12,0.1,1,False
2026-04-14 18:16:44,full_run,59,59,59,60,8,8,6,60,0,0,0.133333333333333,0.1,1,False
2026-04-14 18:16:44,full_run,69,69,69,70,9,9,6,70,0,0,0.128571428571428,0.08571428571428501,1,False
2026-04-14 18:16:45,full_run,79,79,79,80,9,9,6,80,0,0,0.1125,0.075,1,False
2026-04-14 18:16:45,full_run,89,89,89,90,9,9,6,90,0,0,0.1,0.066666666666666,1,False
2026-04-14 18:16:45,full_run,99,99,99,100,10,10,8,100,0,0,0.1,0.08,1,False
2026-04-14 18:16:45,full_run,109,109,109,110,12,12,8,110,0,0,0.109090909090909,0.072727272727272,1,False
2026-04-14 18:16:45,full_run,119,119,119,120,13,13,9,120,0,0,0.108333333333333,0.075,1,False
2026-04-14 18:16:45,full_run,129,129,129,130,14,14,11,130,0,0,0.107692307692307,0.08461538461538401,1,False
2026-04-14 18:16:45,full_run,139,139,139,140,16,16,12,140,0,0,0.114285714285714,0.08571428571428501,1,False
2026-04-14 18:16:45,full_run,149,149,149,150,17,17,12,150,0,0,0.11333333333333301,0.08,1,False
2026-04-14 18:16:45,full_run,159,159,159,160,17,17,13,160,0,0,0.10625000000000001,0.08125,1,False
2026-04-14 18:16:45,full_run,169,169,169,170,17,17,13,170,0,0,0.1,0.07647058823529401,1,False
2026-04-14 18:16:45,full_run,179,179,179,180,19,19,15,180,0,0,0.10555555555555501,0.08333333333333301,1,False
2026-04-14 18:16:45,full_run,189,189,189,190,20,20,16,190,0,0,0.105263157894736,0.084210526315789,1,False
2026-04-14 18:16:45,full_run,199,199,199,200,21,21,17,200,0,0,0.105,0.085,1,False
2026-04-14 18:16:45,full_run,209,209,209,210,24,24,19,210,0,0,0.114285714285714,0.09047619047619,1,False
2026-04-14 18:16:45,full_run,219,219,219,220,24,24,19,220,0,0,0.109090909090909,0.086363636363636,1,False
2026-04-14 18:16:45,full_run,229,229,229,230,24,24,19,230,0,0,0.104347826086956,0.082608695652173,1,False
2026-04-14 18:16:45,full_run,239,239,239,240,24,24,19,240,0,0,0.1,0.07916666666666601,1,False
2026-04-14 18:16:45,full_run,249,249,249,250,27,27,22,250,0,0,0.108,0.088,1,False
2026-04-14 18:16:45,full_run,259,259,259,260,28,28,23,260,0,0,0.107692307692307,0.08846153846153801,1,False
2026-04-14 18:16:45,full_run,269,269,269,270,29,29,24,270,0,0,0.10740740740740701,0.088888888888888,1,False
2026-04-14 18:16:45,full_run,279,279,279,280,29,29,24,280,0,0,0.10357142857142801,0.08571428571428501,1,False
2026-04-14 18:16:45,full_run,289,289,289,290,30,30,25,290,0,0,0.103448275862068,0.086206896551724,1,False
2026-04-14 18:16:45,full_run,299,299,299,300,33,33,27,300,0,0,0.11,0.09,1,False
2026-04-14 18:16:45,full_run,309,309,309,310,33,33,27,310,0,0,0.10645161290322501,0.08709677419354801,1,False
2026-04-14 18:16:45,full_run,319,319,319,320,34,34,28,320,0,0,0.10625000000000001,0.08750000000000001,1,False
2026-04-14 18:16:45,full_run,329,329,329,330,37,37,31,330,0,0,0.11212121212121201,0.093939393939393,1,False
2026-04-14 18:16:45,full_run,339,339,339,340,37,37,31,340,0,0,0.10882352941176401,0.09117647058823501,1,False
2026-04-14 18:16:45,full_run,349,349,349,350,38,38,32,350,0,0,0.10857142857142801,0.09142857142857101,1,False
2026-04-14 18:16:45,full_run,359,359,359,360,40,40,33,360,0,0,0.11111111111111101,0.09166666666666601,1,False
2026-04-14 18:16:45,full_run,369,369,369,370,42,42,35,370,0,0,0.113513513513513,0.094594594594594,1,False
2026-04-14 18:16:45,full_run,379,379,379,380,43,43,36,380,0,0,0.11315789473684201,0.09473684210526301,1,False
2026-04-14 18:16:45,full_run,389,389,389,390,44,44,37,390,0,0,0.112820512820512,0.09487179487179401,1,False
2026-04-14 18:16:45,full_run,399,399,399,400,44,44,37,400,0,0,0.11,0.0925,1,False
2026-04-14 18:16:45,full_run,409,409,409,410,44,44,37,410,0,0,0.10731707317073101,0.09024390243902401,1,False
2026-04-14 18:16:45,full_run,419,419,419,420,44,44,37,420,0,0,0.10476190476190402,0.088095238095238,1,False
2026-04-14 18:16:45,full_run,429,429,429,430,45,45,38,430,0,0,0.10465116279069701,0.08837209302325501,1,False
2026-04-14 18:16:45,full_run,439,439,439,440,46,46,39,440,0,0,0.10454545454545401,0.08863636363636301,1,False
2026-04-14 18:16:45,full_run,449,449,449,450,47,47,40,450,0,0,0.104444444444444,0.088888888888888,1,False
2026-04-14 18:16:45,full_run,459,459,459,460,49,49,42,460,0,0,0.10652173913043401,0.09130434782608601,1,False
2026-04-14 18:16:45,full_run,469,469,469,470,50,50,43,470,0,0,0.106382978723404,0.091489361702127,1,False
2026-04-14 18:16:45,full_run,479,479,479,480,50,50,44,480,0,0,0.104166666666666,0.09166666666666601,1,False
2026-04-14 18:16:45,full_run,489,489,489,490,50,50,44,490,0,0,0.10204081632653,0.089795918367346,1,False
2026-04-14 18:16:45,full_run,499,499,499,500,52,52,45,500,0,0,0.10400000000000001,0.09,1,False
2026-04-14 18:16:45,full_run,509,509,509,510,53,53,45,510,0,0,0.10392156862745001,0.08823529411764701,1,False
2026-04-14 18:16:45,full_run,519,519,519,520,54,54,46,520,0,0,0.103846153846153,0.08846153846153801,1,False
2026-04-14 18:16:45,full_run,529,529,529,530,55,55,47,530,0,0,0.10377358490566001,0.088679245283018,1,False
2026-04-14 18:16:45,full_run,539,539,539,540,56,56,48,540,0,0,0.103703703703703,0.088888888888888,1,False
2026-04-14 18:16:45,full_run,549,549,549,550,59,59,51,550,0,0,0.107272727272727,0.092727272727272,1,False
2026-04-14 18:16:45,full_run,559,559,559,560,60,60,51,560,0,0,0.10714285714285701,0.09107142857142801,1,False
2026-04-14 18:16:45,full_run,569,569,569,570,60,60,51,570,0,0,0.105263157894736,0.08947368421052601,1,False
2026-04-14 18:16:45,full_run,579,579,579,580,60,60,51,580,0,0,0.103448275862068,0.087931034482758,1,False
2026-04-14 18:16:45,full_run,589,589,589,590,63,63,52,590,0,0,0.10677966101694901,0.08813559322033801,1,False
2026-04-14 18:16:45,full_run,599,599,599,600,63,63,52,600,0,0,0.105,0.086666666666666,1,False
2026-04-14 18:16:45,full_run,609,609,609,610,65,65,54,610,0,0,0.10655737704918,0.088524590163934,1,False
2026-04-14 18:16:45,full_run,619,619,619,620,66,66,55,620,0,0,0.10645161290322501,0.08870967741935401,1,False
2026-04-14 18:16:45,full_run,629,629,629,630,67,67,56,630,0,0,0.10634920634920601,0.088888888888888,1,False
2026-04-14 18:16:45,full_run,639,639,639,640,68,68,56,640,0,0,0.10625000000000001,0.08750000000000001,1,False
2026-04-14 18:16:45,full_run,649,649,649,650,69,69,57,650,0,0,0.106153846153846,0.087692307692307,1,False
2026-04-14 18:16:45,full_run,659,659,659,660,71,71,58,660,0,0,0.107575757575757,0.087878787878787,1,False
2026-04-14 18:16:45,full_run,669,669,669,670,72,72,59,670,0,0,0.10746268656716401,0.088059701492537,1,False
2026-04-14 18:16:45,full_run,679,679,679,680,75,75,60,680,0,0,0.11029411764705802,0.08823529411764701,1,False
2026-04-14 18:16:45,full_run,689,689,689,690,76,76,60,690,0,0,0.11014492753623101,0.08695652173913,1,False
2026-04-14 18:16:45,full_run,699,699,699,700,77,77,61,700,0,0,0.11,0.08714285714285701,1,False
2026-04-14 18:16:45,full_run,709,709,709,710,78,78,61,710,0,0,0.10985915492957701,0.085915492957746,1,False
2026-04-14 18:16:45,full_run,719,719,719,720,80,80,62,720,0,0,0.11111111111111101,0.08611111111111101,1,False
2026-04-14 18:16:45,full_run,729,729,729,730,81,81,62,730,0,0,0.11095890410958902,0.08493150684931501,1,False
2026-04-14 18:16:45,full_run,739,739,739,740,82,82,65,740,0,0,0.11081081081081001,0.08783783783783701,1,False
2026-04-14 18:16:45,full_run,749,749,749,750,82,82,65,750,0,0,0.109333333333333,0.086666666666666,1,False
2026-04-14 18:16:45,full_run,759,759,759,760,82,82,65,760,0,0,0.107894736842105,0.085526315789473,1,False
2026-04-14 18:16:45,full_run,769,769,769,770,83,83,65,770,0,0,0.10779220779220701,0.08441558441558401,1,False
2026-04-14 18:16:45,full_run,779,779,779,780,84,84,65,780,0,0,0.107692307692307,0.08333333333333301,1,False
2026-04-14 18:16:45,full_run,789,789,789,790,84,84,65,790,0,0,0.10632911392405,0.082278481012658,1,False
2026-04-14 18:16:45,full_run,799,799,799,800,84,84,65,800,0,0,0.105,0.08125,1,False
2026-04-14 18:16:45,full_run,809,809,809,810,86,86,67,810,0,0,0.10617283950617201,0.08271604938271601,1,False
2026-04-14 18:16:45,full_run,819,819,819,820,87,87,68,820,0,0,0.106097560975609,0.08292682926829201,1,False
2026-04-14 18:16:45,full_run,829,829,829,830,88,88,69,830,0,0,0.10602409638554201,0.08313253012048101,1,False
2026-04-14 18:16:45,full_run,839,839,839,840,89,89,69,840,0,0,0.10595238095238001,0.082142857142857,1,False
2026-04-14 18:16:45,full_run,849,849,849,850,90,90,70,850,0,0,0.10588235294117601,0.08235294117647,1,False
2026-04-14 18:16:45,full_run,859,859,859,860,90,90,70,860,0,0,0.10465116279069701,0.081395348837209,1,False
2026-04-14 18:16:45,full_run,869,869,869,870,92,92,71,870,0,0,0.10574712643678101,0.08160919540229801,1,False
2026-04-14 18:16:45,full_run,879,879,879,880,93,93,72,880,0,0,0.105681818181818,0.08181818181818101,1,False
2026-04-14 18:16:45,full_run,882,882,882,883,93,93,72,883,0,0,0.10532276330690801,0.081540203850509,1,True
