ts,run_tag,last_processed_idx,last_processed_global_idx,last_processed_source_idx,total_processed,total_saved,ea_count,pa_count,format_ok_count,errors,skipped,ea_rate,pa_rate,fmt_rate,completed
2026-04-14 11:53:15,full_run,9,9,9,10,5,5,4,10,0,0,0.5,0.4,1.0,False
2026-04-14 11:53:15,full_run,19,19,19,20,11,11,7,20,0,0,0.55,0.35000000000000003,1.0,False
2026-04-14 11:53:16,full_run,29,29,29,30,20,20,14,30,0,0,0.6666666666666661,0.46666666666666606,1.0,False
2026-04-14 11:53:16,full_run,39,39,39,40,27,27,19,40,0,0,0.675,0.47500000000000003,1.0,False
2026-04-14 11:53:16,full_run,49,49,49,50,35,35,23,50,0,0,0.7000000000000001,0.46,1.0,False
2026-04-14 11:53:16,full_run,59,59,59,60,41,41,27,59,0,0,0.683333333333333,0.45,0.9833333333333331,False
2026-04-14 11:53:16,full_run,69,69,69,70,49,49,34,69,0,0,0.7000000000000001,0.48571428571428504,0.9857142857142851,False
2026-04-14 11:53:16,full_run,79,79,79,80,52,52,37,79,0,0,0.65,0.4625,0.9875,False
2026-04-14 11:53:16,full_run,89,89,89,90,60,60,45,89,0,0,0.6666666666666661,0.5,0.988888888888888,False
2026-04-14 11:53:16,full_run,99,99,99,100,69,69,51,99,0,0,0.6900000000000001,0.51,0.99,False
2026-04-14 11:53:16,full_run,109,109,109,110,74,74,54,109,0,0,0.6727272727272721,0.49090909090909,0.9909090909090911,False
2026-04-14 11:53:16,full_run,119,119,119,120,81,81,60,119,0,0,0.675,0.5,0.991666666666666,False
2026-04-14 11:53:16,full_run,129,129,129,130,89,89,66,129,0,0,0.6846153846153841,0.507692307692307,0.9923076923076921,False
2026-04-14 11:53:16,full_run,139,139,139,140,95,95,71,139,0,0,0.678571428571428,0.507142857142857,0.9928571428571421,False
2026-04-14 11:53:16,full_run,149,149,149,150,100,100,74,149,0,0,0.6666666666666661,0.493333333333333,0.9933333333333331,False
2026-04-14 11:53:16,full_run,159,159,159,160,106,106,81,159,0,0,0.6625,0.5062500000000001,0.9937500000000001,False
2026-04-14 11:53:16,full_run,169,169,169,170,112,112,87,169,0,0,0.658823529411764,0.511764705882352,0.9941176470588231,False
2026-04-14 11:53:16,full_run,179,179,179,180,117,117,91,179,0,0,0.65,0.5055555555555551,0.9944444444444441,False
2026-04-14 11:53:16,full_run,189,189,189,190,124,124,97,189,0,0,0.652631578947368,0.510526315789473,0.994736842105263,False
2026-04-14 11:53:16,full_run,199,199,199,200,130,130,103,199,0,0,0.65,0.515,0.995,False
2026-04-14 11:53:16,full_run,209,209,209,210,136,136,109,209,0,0,0.6476190476190471,0.5190476190476191,0.995238095238095,False
2026-04-14 11:53:16,full_run,219,219,219,220,142,142,114,219,0,0,0.6454545454545451,0.5181818181818181,0.995454545454545,False
2026-04-14 11:53:16,full_run,229,229,229,230,148,148,118,229,0,0,0.643478260869565,0.513043478260869,0.9956521739130431,False
2026-04-14 11:53:16,full_run,239,239,239,240,155,155,124,239,0,0,0.645833333333333,0.516666666666666,0.9958333333333331,False
2026-04-14 11:53:16,full_run,249,249,249,250,161,161,129,249,0,0,0.644,0.516,0.996,False
2026-04-14 11:53:16,full_run,259,259,259,260,170,170,137,259,0,0,0.6538461538461531,0.526923076923076,0.9961538461538461,False
2026-04-14 11:53:16,full_run,269,269,269,270,175,175,141,268,0,0,0.648148148148148,0.522222222222222,0.992592592592592,False
2026-04-14 11:53:17,full_run,279,279,279,280,180,180,146,278,0,0,0.642857142857142,0.521428571428571,0.9928571428571421,False
2026-04-14 11:53:17,full_run,289,289,289,290,187,187,151,288,0,0,0.6448275862068961,0.5206896551724131,0.993103448275862,False
2026-04-14 11:53:17,full_run,299,299,299,300,194,194,156,298,0,0,0.6466666666666661,0.52,0.9933333333333331,False
2026-04-14 11:53:17,full_run,309,309,309,310,199,199,161,308,0,0,0.6419354838709671,0.519354838709677,0.9935483870967741,False
2026-04-14 11:53:17,full_run,319,319,319,320,205,205,166,318,0,0,0.640625,0.51875,0.9937500000000001,False
2026-04-14 11:53:17,full_run,329,329,329,330,213,213,171,328,0,0,0.6454545454545451,0.5181818181818181,0.9939393939393931,False
2026-04-14 11:53:17,full_run,339,339,339,340,218,218,175,338,0,0,0.641176470588235,0.514705882352941,0.9941176470588231,False
2026-04-14 11:53:17,full_run,349,349,349,350,226,226,182,348,0,0,0.645714285714285,0.52,0.9942857142857141,False
2026-04-14 11:53:17,full_run,359,359,359,360,233,233,188,358,0,0,0.647222222222222,0.522222222222222,0.9944444444444441,False
2026-04-14 11:53:17,full_run,369,369,369,370,238,238,192,368,0,0,0.643243243243243,0.5189189189189191,0.9945945945945941,False
2026-04-14 11:53:17,full_run,379,379,379,380,242,242,196,378,0,0,0.6368421052631571,0.51578947368421,0.994736842105263,False
2026-04-14 11:53:17,full_run,389,389,389,390,249,249,202,388,0,0,0.6384615384615381,0.517948717948718,0.9948717948717941,False
2026-04-14 11:53:17,full_run,399,399,399,400,254,254,206,397,0,0,0.635,0.515,0.9925,False
2026-04-14 11:53:17,full_run,409,409,409,410,262,262,213,407,0,0,0.639024390243902,0.519512195121951,0.9926829268292681,False
